Strongs numbers in lexicon, but not in tagged texts, SEEMS LIKE TOO MANY!
===

G33	ἄγε	to lead	
G20171	ἀφορολόγητος	untaxed	
G20172	ἀφρονεύομαι	to act foolishly	
G20173	ἄφυκτος	unable to escape	
G20174	ἀχανής	vast, immense	
G20175	ἀχρειότης	unprofitableness, worthlessness	
G20176	βαθύγλωσσος	unintelligible	
G20177	βάϊς	bai	
G20178	βαρυηχής	deep-roaring	
G20179	βαρυωπέω	be dim-sighted	
G20180	βασκανία	jealousy	
G20181	βιβλιοφυλάκιον	archives	
G20182	βλαστάω	to bring forth	
G20183	βόμβησις	buzzing	
G20184	βοοζύγιον	ox-yoke	
G20185	βραχυτελής	brief	
G20186	βρῶμος	stink	
G20187	βύβλινος	papyrus	
G20188	βύβλος	papyrus	
G20189	βυθοτρεφής	living in the deep	
G20190	γαλακτοτροφέω	to give milk	
G20191	γαλακτοτροφία	to suckle	
G20192	γενεσιάρχης	creator	
G20193	γενεσιουργός	fashioner, creator	
G20194	γένημα	produce	
G20196	γίγνομαι	gigno, gnatus.	
G20197	γλωσσοκομεῖον	coffin	
G20198	γνωριστής	diviner	
G20199	γονορρυέω	be subject to spermatorrhoea	
G20200	γόος	for	
G20201	δᾳδουχία	torch-bearing	
G20202	δακτυλήθρα	thumb-screw	
G20203	δανίζω	to lend/borrow	
G20204	δειλανδρέω	be cowardly	
G20205	δειλόομαι	be afraid	
G20206	δειλόψυχος	fainthearted	
G20207	δεινάζω	be in straits	
G20208	δεκαπλασιάζω	to multiply by ten	
G20209	δεκάταρχος	head of a	
G20210	δεξιάζω	to approve	
G20211	δέσις	joint	
G20212	δεσποτεύω	to enjoy ownership of.	
G20213	δευτερολογέω	to speak a second time	
G20214	δηλαϊστός	wretched	
G20215	δημαγωγέω	be popular	
G20216	διαβιάζομαι	penetrate	
G20217	διαγορεύω	to declare	
G20218	διαγωνιάω	to stand in dread of	
G20219	διαδιδράσκω	to fly in all directions	
G20220	διαιτέω	to turn by entreaty	
G20221	διακαθίζω	to cause to sit apart	
G20222	διακατέχω	to keep on foot	
G20223	διακολυμβάω	to dive and swim across	
G20224	διακριβεία	minute observance	
G20225	διάληψις	digression	
G20226	διάλιθος	set with precious stones	
G20227	διαλοιδόρησις	railing, abuse	
G20228	διαμασάομαι	carp at	
G20229	διαμελίζω	to dismember	
G20230	διαπαρατηρέομαι	lie in wait for continually	
G20231	διαπειράζω	to attempt	
G20232	διαπέφλοιδεν	interceed	
G20233	διαπυρόομαι	be consumed with thirst	
G20234	διαρρυθμίζω	to arrange in order	
G20235	διασαφίζω	to declare	
G20236	διασκεδάζω	to disperse	
G20237	διασκιρτάω	to leap about	
G20238	διάσταλσις	arrangement, compact	
G20239	διαστράπτω	to glance like lightning	
G20240	διασυρίζω	to whistle idly	
G20241	διασφραγίζομαι	seal up	
G20242	διατυπόω	be arranged, regulated by agreement	
G20243	διαφαιρέω	to take quite away	
G20244	διαφθονέω	be envied	
G20245	διαψιθυρίζω	to whisper	
G20246	διγομία	double burden, load	
G20247	διεκκύπτω	to peep out	
G20248	διεμπίμπλημι	fill completely	
G20249	διεστραμμένως	distortedly	
G20250	δικαιοκρίτης	righteous judge	
G20251	δικαιολογία	forensic speeches	
G20252	δίκησις	vengeance	
G20253	διοργίζομαι	be very angry	
G20254	διορθρίζω	to rise early	
G20255	διορθωτής	of books, editor, reviser	
G20256	διορυγή	canal	
G20257	δισχιλιάς	number of twenty thousand	
G20258	διτάλαντος	worth two talents	
G20259	διχομηνία	mid-menstrual period	
G20260	δορατοφόρος	spear-carrying	
G20261	δορυφορία	body-guard	
G20262	δράκος	eye	
G20263	δυνάστευμα	natural resources	
G20264	δυσάθλιος	most miserable	
G20265	δυσάλυκτος	hard to escape	
G20266	δυσδιήγητος	hard to narrate	
G20267	δυσκατάπαυστος	restless	
G20268	δυσκλεής	infamous, shameful	
G20269	δυσνοέω	be ill-affected	
G20270	δυσπέτημα	misfortune	
G20271	δυσπόλεμος	unlucky in war	
G20272	δυσσέβημα	impious act	
G20273	ἑβδομάζω	to keep the Sabbath	
G20274	ἐγγιάω	be near akin	
G20275	ἐγγυιόω	to stretch the limbs upon	
G20276	ἐγκαθυφαίνω	to set-firm	
G20277	ἐγκαίω	to offer sacrifice	
G20278	ἐγκαταλοχίζω	to divide into teams	
G20279	ἐγκηδεύω	to bury in	
G20280	ἐγκόλαμμα	engraved inscription	
G20281	ἐγκοσμέω	be adorned	
G20282	ἔγκτησις	acquisition of territory	
G20283	ἐθέλω	be willing	
G20284	ἐθνηδόν	by nations, as a whole nation	
G20285	εἷ	where	
G20286	εἰδέα	likeness	
G20287	εἰδέχθεια	odious, ugly look	
G20288	εἴδησις	forms of knowledge	
G20289	εἴλω	to constrain	
G20290	εἰσκολάπτω	to carve upon	
G20291	εἰσκυκλέω	to plunge into	
G20292	εἰσκύπτω	to overhang	
G20293	ἐκβεβηλόω	to profane	
G20294	ἐκβιάομαι	to expell	
G20295	ἔκβολος	has broken in upon	
G20296	ἐκβραγμός	erruption	
G20297	ἐκγεννάω	to bringforth	
G20298	ἐκδειματόω	to scare	
G20299	ἐκδιαιτάω	to make to change one's habits	
G20300	ἐκδικησία	to avenge	
G20301	ἐκζητητής	searcher out	
G20303	ἐκθλιβή	oppression	
G20304	ἔκθλιψις	elision	
G20305	ἐκκοσμέω	to adorn	
G20306	ἔκλαμπρος	very bright	
G20307	ἔκλαμψις	sudden development	
G20308	ἐκλεκτόω	to purify	
G20309	ἐκλεπίζω	to peel	
G20310	ἐκλικμάω	to sift	
G20311	ἐκλογιστής	accountant	
G20312	ἐκλογιστία	reckoning: accounts	
G20313	ἐκμελίζω	to dismember	
G20314	ἐκπαίζω	to mock	
G20315	ἐκπετάννυμι	gaping	
G20316	ἐκπιάζω	to squeeze	
G20317	ἐκπολιτεύω	to corrupt	
G20318	ἐκριζωτής	rooter out, destroyer	
G20319	ἐκσαόω	to escape	
G20320	ἐκσπονδυλίζω	to break the vertebrae	
G20321	ἐκσυρίζω	to hiss loudly	
G20322	ἐκτοπίζω	to shun	
G20323	ἐκφλέγω	to warm	
G20324	ἐκφόρτιον	produce	
G20325	ἐκφυγή	escape	
G20326	ἐκχάσκω	to gaze	
G20327	ἐκχολάω	be angry	
G20328	ἐλαττονόω	to diminish	
G20329	ἐλεάω	to have pity	
G20330	ἐλεημοποιός	giving alms	
G20331	ἐλευστέον	one must come	
G20332	ἐλεφαντάρχης	commander of a squadron of sixteen elephants	
G20333	ἐμβίωσις	taking root	
G20334	ἐμμανής	maddened by	
G20335	ἐμμελέτημα	instrument for practice	
G20336	ἐμπαρρησιάζομαι	to speak openly	
G20337	ἐμπειρέω	be experienced in, have knowledge of	
G20338	ἐμπληθύνομαι	be filled with	
G20339	ἐμποδιστικός	trammelling	
G20340	ἐμπολιορκέω	to besiege	
G20341	ἔμπονος	vehement	
G20342	ἐμπορπάω	to fastened with a brooch upon the shoulder	
G20343	ἐμπορπόομαι	to wear	
G20344	ἐμφανισμός	explanation	
G20345	ἐμφύρω	to confuse	
G20346	ἐμφυσιόω	to instil	
G20347	ἐναποσφραγίζω	to impress	
G20348	ἐνάρμοστος	concordant	
G20349	ἐνατενίξω	to stare	
G20350	ἐνδείκτης	informer, complainant	
G20351	ἐνδελεχέω	be persistently afflicted	
G20352	ἐνδελεχίζω	to persevere	
G20353	ἐνδεχομένως	to the best of his ability	
G20354	ἐνδιαλλάσσω	to sodomize	
G20355	ἐνδιασπείρω	to impregnate	
G20356	ἐνδοσθίδια	stomach	
G20357	ἐνεμπορεύομαι	trade with one in	
G20358	ἐνεξουσιάζω	be brought into subjection	
G20359	ἐνευκαιρέω	to idle	
G20360	ἐνῆλιξ	of age, in the prime of manhood	
G20361	ἔνηχος	sonorous	
G20362	ἔνθεσμος	valid	
G20363	ἐνθρύπτω	to crumble into liquid	
G20364	ἐνθυσιάζω	to sacrifice	
G20365	ἐννέμω	to live amongst	
G20367	ἔννευμα	signal, wave of the hand	
G20368	ἐννοσσοποιέομαι	make oneself a nest on	
G20369	ἐνσείω	to jostle	
G20370	ἐνσκηνόω	to encamp	
G20371	ἐντιμόομαι	be held in honour	
G20372	ἐντιναγμός	shaking	
G20373	ἐντινάσσω	to collide with	
G20374	ἐντόσθιος	inwards, entrails	
G20375	ἐντότερος	inner	
G20376	ἐντυχία	records	
G20377	ἐνυποκρίνομαι	play the hypocrite	
G20378	ἐνυποτάσσω	be made subject	
G20379	ἐνυψόω	to exalt, excite	
G20380	ἐξάδελφος	nephew	
G20381	ἐξαλλοιόω	to change utterly	
G20382	ἐξαλλοτριόω	be estranged	
G20383	ἐξαποστολή	discharge	
G20384	ἔξαρθρος	loose-jointed	
G20385	ἐξαρθρόω	to dislocate	
G20386	ἐξατιμάζω	to dishonour utterly	
G20387	ἐξαφίημι	squander	
G20388	ἐξαφίστημι	grow out of	
G20389	ἐξέλευσις	to leave	
G20390	ἐξευμενίζω	to propitiate	
G20391	ἐξευφραίνομαι	show rejoicing	
G20392	ἐξημερόω	to civilize	
G20393	ἐξηχευη	stupes	
G20394	ἐξισάζω	to equate	
G20395	ἐξιστάνω	to divert	
G20396	ἐξοδεύω	to depart	
G20397	ἐξολέθρευμα	destruction	
G20398	ἐξομβρέω	to pour like rain	
G20399	ἐξόμνυμι	swear, make affidavit	
G20400	ἐξουδενέω	to dispise	
G20401	ἔξοχος	above all	
G20402	ἐξυπνόω	to wake	
G20403	ἐξυψόω	to elevate	
G20404	ἐξωτάτω	outermost	
G20405	ἑόρτασμα	festival, holiday	
G20406	ἐπαίτης	begging	
G20407	ἐπακουστός	be obeyed	
G20408	ἐπαλγής	painful	
G20409	ἐπανδρόω	to make manly	
G20410	ἐπάνοδος	fuller statement	
G20411	ἐπαξονέω	to enroll	
G20412	ἐπάρδω	to irrigate	
G20413	ἐπαρήγω	to help	
G20414	ἔπαρξις	haughty	
G20415	ἐπασθμαίνω	to pant	
G20416	ἐπεισκυκλέω	to roll	
G20418	ἐπιθραύω	to break besides	
G20419	ἐπικαθιζάνω	to lie down	
G20420	ἐπικαινίζω	to renew	
G20421	ἐπικάλαμοι	stalk	
G20422	ἐπικαρπολογέομαι	glean	
G20423	ἐπικαταπνέω	against	
G20424	ἐπικινέω	be moved	
G20425	ἐπίκλησις	appellatio, appeal	
G20426	ἐπίκοιλος	porous, spongy	
G20427	ἐπικουφίζω	to lighten	
G20428	ἐπίκρασις	tempering	
G20429	ἐπίκριμα	decretum	
G20430	ἐπίκυφος	bent over, crooked	
G20431	ἐπιλαλέω	be said of.	
G20432	ἐπιλειόω	to shave	
G20433	ἐπιλήθω	to forget	
G20435	ἐπιλυπέω	be troubled at	
G20436	ἐπίμεικτος	in combination	
G20437	ἐπιμερίζω	to enumerate	
G20438	ἐπιμεσόω	be at the middle	
G20439	ἐπιμήκης	extending	
G20440	ἐπιμίξ	respect of persons	
G20441	ἐπίμοχθος	with toil	
G20442	ἐπιπληθύνω	to superabound	
G20443	ἐπίπληξις	plagues	
G20444	ἐπίποκος	covered with wool, woolly	
G20445	ἐπιρρωγολογέομαι	glean grapes off	
G20446	ἔπισος	comparable	
G20448	ἐπισυνέχω	to appropriate	
G20449	ἐπιτομή	right of cutting	
G20450	ἐπιφαυλίζω	to minimise	
G20451	ἐπιφυτεύω	to plant	
G20452	ἐπιψάλλω	to sing	
G20453	ἐποξύνω	to excite	
G20454	ἐποργίζομαι	be wroth at	
G20455	ἑπταμήτωρ	mother of seven children	
G20456	ἑπταπλόος	sevenfold	
G20457	ἑπτάπυργος	seven-towered	
G20458	ἐριθεύομαι	indulge in petty intrigue	
G20459	ἐριστής	to dispute	
G20460	ἐρισύβη	blight	
G20461	ἐρυθαίνω	to blush	
G20462	ἐρύθρημα	red	
G20463	ἔσθω	to devour	
G20464	ἐσσήν	[hudot]ōšen	
G20465	ἐσχατόγηρως	in extreme old age	
G20466	ἑτεροκωφέω	be deaf of one ear	
G20467	εὐαγής	rūgio	
G20468	εὐαπάντητος	affable, courteous	
G20469	εὐδράνεια	bodily strength and health	
G20470	εὔθικτος	witty	
G20471	εὐκατάλλακτος	easily appeased, placable	
G20472	εὔκληρος	fortunate	
G20473	εὐκοπία	ease, facility	
G20474	εὐκοσμέω	to behave orderly	
G20475	εὐλογίζω	to bless	
G20476	εὔλογος	honourably	
G20477	εὔοπτος	well-cooked	
G20478	εὐπείθεια	ready obedience	
G20479	εὐπόρφυρος	of bright purple colour	
G20480	εὔσταθμος	in weight	
G20481	εὔτηκτος	fusibility	
G20482	εὐχαρής	pleasant	
G20483	εὐχαριστήριος	mission of thanks	
G20484	ἐφηβία	gymnasium	
G20485	ἐφιορκία	perjury	
G20486	ἐφύβριστος	contemptible	
G20488	ζευγίζω	to yoke together	
G20489	ζῆ	life	
G20490	ζῶ	life	
G20491	ζωγρίας	one taken alive	
G20492	ζωνῖτις	seams	
G20493	ζωτικός	true to life	
G20494	ἡγεμόνη	flagship	
G20495	ἡγεμονίδης	govenor	
G20496	ἥγησις	command	
G20497	ἡδομένως	with joy, gladly	
G20498	ἠθολογέω	comedy of manners	
G20499	ἡλιάζω	to ferment	
G20500	ἡμεράλωψ	nictilopa	
G20501	ἡμιθαλής	half-green	
G20502	ἡμίθνητος	half-dead	
G20503	ἡμισεύελπις	half-hopeful	
G20504	ἡμισευτής	half time	
G20505	ἡμισύνθεσις	half-set	
G20507	ἠνίδε	look!	
G20508	ἤνυστρον	first stomach	
G20509	ἡπατοσκοπέω	to inspect the liver for soothsaying	
G20510	ἠπιότης	gentleness	
G20511	ἠχέτης	sounding	
G20512	θεόκτιστος	founded by God	
G20513	θεριστήριον	reaping-hook	
G20514	θοίνη	feeding upon	
G20515	θραῦμα	destruction	
G20516	θρησκεύω	be a devotee	
G20517	θρονίζομαι	be initiated, consecrated	
G20518	θυμαρής	well-pleasing, delightful	
G20519	θυρεόφορος	armed with such a shield	
G20521	θωρακισμός	arming with breastplates	
G20522	ἰδιόγραφος	separately written	
G20523	ἰδιότης	relationship	
G20524	ἱερεία	sanctuary	
G20525	ἱερόδουλος	templecourtesans	
G20526	ἱεροσύλημα	sacrilege	
G20527	ἱεροψάλτης	singer in the temple	
G20528	ἱερόψυχος	of holy, pious soul	
G20529	ἱέρωμα	consecrated object, offering	
G20530	ἴκτηρ	suppliant	
G20531	ἱλαροτραγῳδία	burlesque tragedy	
G20532	ἱλάσιμος	placable	
G20533	ἱλαστής	propitiator	
G20534	ἱλατεύω	gracious	
G20535	ἱμάντωσις	piece of timber used instead of a bond-stone	
G20536	ἰσάστερος	like a star, bright as a star	
G20537	ἰσηγορέομαι	speak as an equal	
G20538	ἰσοδυναμέω	be equivalent	
G20539	ἰσοδύναμος	equal	
G20540	ἰσοπολίτης	equitable citizen	
G20541	ἴσχυσις	strength	
G20542	καθάπαν	on the whole	
G20543	καθαριόω	to purify	
G20544	καθάρισις	cleansing	
G20545	καθεῖς	one by one, one after antoher	
G20546	καθεύρεμα	invention	
G20547	καθηγεμών	leader	
G20548	καθιδρύω	to settle	
G20550	καινουργός	novelty	
G20551	κακοεξία	bad habit	
G20552	κακόμοχθος	perversely	
G20553	κακοπραγία	misdeeds	
G20554	καμιναία	furnace	
G20555	καπνοδόκη	hole in the roof for the smoke to pass through	
G20556	κάρρον	coach-builder	
G20557	καρτερός	resolutely	
G20558	καρτεροψυχία	strength of spirit	
G20559	καταβαρύνω	to overload	
G20560	καταβάσιος	descent	
G20561	καταγογγύζω	to murmur against	
G20562	καταδαμάζω	to subdue	
G20563	καταδαπανάω	to consume	
G20564	καταδεσμεύω	to repeat	
G20565	καταδεύω	to make wet	
G20566	καταδέω	to lack	
G20567	καταδρομή	cryptoporticus	
G20568	κατάκλειστος	precious	
G20569	κατάκλιτος	flowing down	
G20570	καταλαλητέον	one must talk against	
G20571	καταλεαίνω	to placate	
G20572	καταμερισμός	distribution	
G20573	καταφαγεῖν	spend in eating, waste	
G20574	καταφράσσω	to protect	
G20575	καταφρονητέον	one must despise	
G20576	κατάχρεος	involved in	
G20577	καταψευσμός	slander, calumny	
G20578	κατεμβλέπω	to despise	
G20579	κατενισχύω	to establish	
G20580	κατένωπα	over against, right opposite	
G20581	κατεπίθυμος	very eager	
G20582	κατεπικύπτω	to bow down upon	
G20583	κατερευνάω	to dīrīmat	
G20584	κατευθικτέω	to hit exactly	
G20586	κατευφημέω	to applaud	
G20587	κατιμονεύω	to let down	
G20588	κατοδυνάω	to afflict grievously	
G20590	κατοικτείρω	to feel compassion	
G20591	κατοινύσαι	hidden	
G20592	κατοπίσω	to overtake	
G20593	κατώτατος	lowest	
G20594	καυστικός	inflammatory humours	
G20595	καυτήριον	kiln	
G20596	κειράς	shorn	
G20597	κελευσματικῶς	by way of command	
G20598	κενεών	vacant space	
G20599	κενοδοξέω	be vain-glorious	
G20600	κηρογονία	combs	
G20601	κίνημα	moving things	
G20602	κισσόφυλλον	part of a torsion-engine shaped like an ivy-leaf	
G20603	κλεψιμαῖος	furtim	
G20604	κληδών	name, appellation	
G20605	κληρουχία	inheritance	
G20606	κλητέος	one must call	
G20607	κμητός	scratch	
G20608	κοίλασμα	interior	
G20609	κοιλότης	shortage of cash	
G20610	κολαβρισμός	derided	
G20611	κολλύρα	bake	
G20612	κολλύριον	PHolm, PLeid.X.	
G20613	κολοβόρινος	slit-nosed	
G20615	κοσμοπληθής	filling the world	
G20616	κράτησις	holding firm, steadying	
G20617	κρυφός	lurking-place	
G20618	κύκλος	sphere, globe	
G20619	κύκνειος	of Cycnus	
G20620	κυλίκιον	small cup	
G20621	κυνάμυια	shameless fly	
G20622	κυνήγιον	prey	
G20623	κυοφορία	pregnancy	
G20624	κύπρος	a measure of corn	
G20625	κυρία	possession, control	
G20626	κωλῆ	membrum virile	
G20627	κωνώπιον	cōnōpēum	
G20628	Λακωνικός	female garment	
G20629	λάμψις	shining	
G20630	λαογραφία	poll-tax	
G20631	λαπιστής	swaggerer	
G20632	λατόμημα	stone hewn from a quarry	
G20633	λαφυρεύω	to plunder	
G20634	λεληθότως	secretly	
G20635	λεοντηδόν	like a lion	
G20636	λέπυρον	rind, shell, husk	
G20637	λεχώς	giving birth	
G20638	λιβανόομαι	be mixed with frankincense	
G20639	λιθοβόλος	struck with stones, stoned	
G20640	λιποτακτέω	to desert	
G20641	λιτανεία	entreaty	
G20642	λοιμότης	pestilent condition	
G20643	λοχώ	to give birth	
G20644	λυθρώδης	defiled with gore	
G20645	λυσιτέλεια	economy	
G20646	λυτρωτός	redeemable	
G20647	λωποδυτέω	to rob	
G20648	μάγδωλος	migdol	
G20649	μαγειρευτικός	cooking	
G20650	μαγικός	skilled in magic	
G20651	μάγιν	cooking	
G20652	μαδαρότης	falling off of the eyelashes	
G20653	μαδάω	be bald	
G20654	μαδών	íš mādhón	
G20655	μᾶζα	amalgam	
G20656	μακροβίωσις	long living	
G20657	μακροημέρευσις	length of days	
G20658	μάκροθριξ	long-haired	
G20659	μακροτέρω	farther off	
G20660	μακροτονέω	to persevere	
G20661	μακροχρονίζω	long-lasting	
G20662	μαλακία	calmness of the sea, malacia ac tranquillitas	
G20663	μαλακοψυχέω	be cowardly	
G20664	μαλάκυνσις	softening	
G20665	μαρτιχόρας	mard-khwār	
G20666	μαστιγοφόρος	policeman	
G20667	μαστιγωτικός	demanding vengeance	
G20668	μαστιστής	scourger	
G20669	ματαιοτεχνία	dicta est	
G20670	ματαιόφρων	weak-minded	
G20671	ματαιόφωνος	talking idly	
G20672	μαχητέον	one must fight	
G20673	μεγάλαρτος	large loaf	
G20674	μεγαλαυχία	exultation	
G20675	μεγαλόδοξος	very glorious	
G20676	μεγαλοημέρευσις	long-lived	
G20677	μεγαλοκράτωρ	long-ruling	
G20678	μεγαλομερής	magnificent, sumptuous	
G20679	μεγαλοποιέω	to magnify	
G20680	μεγαλορρέκτης	one who does great things	
G20681	μεγάλος	great	
G20682	μεγαλοσθενής	of great strength	
G20683	μεγαλοφρονέω	be arrogant	
G20684	μεγαλόψυχος	romantic, Quixotic	
G20685	μεγαλώνυμος	having a higher denominator	
G20686	μεγαλωστί	far and wide, over a vast space	
G20687	μεγαρτός	envious	
G20688	μεγήριτος	passing lovely	
G20689	μεθαρμόζω	to re-order	
G20690	μεθερμηνευτικός	fit for interpreting	
G20691	μεθήμων	remiss, careless	
G20692	μεθοδευτικός	regular	
G20693	μέθοδος	stratagem	
G20694	μεθορίζω	to determine	
G20695	μέθυσις	drunkenness	
G20696	μεθυσοκότταβος	drunk with cottabus-playing	
G20697	μελάθρα	beam	
G20698	μελετητικός	of meditations	
G20699	μελετητός	be gained by practice	
G20700	μελισσόφυτον	balm	
G20701	μελοποιός	tuneful	
G20702	μεριδάρχης	province	
G20703	μεριδαρχία	his office	
G20704	μεριζομένως	suffering	
G20705	μερινων	portioned	
G20706	μεριτεία	division	
G20707	μεροποσπόρος	begetting men	
G20708	μεσάζω	to occupy a central position	
G20709	μεσημβρίζω	noon	
G20710	μεσονεφής	in the midst	
G20711	μεσοπορέω	be half-way	
G20712	μεσοπόρος	mid	
G20713	μεσορραγής	rent in twain	
G20714	μεταγίγνομαι	be transferred, carried away	
G20715	μεταδιαιτάω	to change one's way of life	
G20716	μετακιρνάω	to intermix	
G20717	μεταλλευτός	be got by mining	
G20718	μετανάστατος	having departed	
G20719	μεταπαιδεύω	to acquire a fresh tendency	
G20720	μετατεύχω	to refashion	
G20721	μετεξέτεροι	a certain amount of	
G20722	μετεωροπορία	travelling through air	
G20723	μετοιακίζομαι	have one's course changed	
G20724	μετοίκησις	transmigration	
G20725	μετοχετεύω	to divert	
G20726	μετρητέον	one must measure	
G20727	μὴ οὐ	isn't it?	
G20728	μήλωσις	use of the probe	
G20729	μηνίαμα	wrath	
G20730	μηνιάω	be wrathful	
G20731	μηνιτής	wrathful man	
G20732	μὴπολλάκις	lest perchance	
G20733	μηροραφής	thigh-burnt	
G20734	μηρυκίζω	to chew the cud	
G20735	μηχανάριος	engineer	
G20736	μιαροφαγέω	to eat abominable food	
G20737	Μιμνέρμειον	gymnasium named after Mimnermus	
G20738	μισάρετος	hating virtue	
G20739	μίσευμα	half	
G20740	μισθαρχίδης	mercenary	
G20741	μισοξενία	guests	
G20742	μισοπονηρέω	to hate wickedness	
G20743	μισοπονηρία	hatred because of wickedness	
G20744	μισοπόνηρος	with hostile sentiments	
G20745	μίσυβρις	hating insolence	
G20746	Μίτρα	Mitra	
G20747	μνημονευτός	objects of memory	
G20748	μνησίθεος	remembering God	
G20749	μνησικακία	remembrance of wrongs	
G20750	μοιχαίνω	to commit adultery	
G20751	μοιχεύτρια	adulteress	
G20752	μόλυβος	lead	
G20753	μολυνοπραγμονέομαι	get into dirty quarrels	
G20754	μολυντός	apt to make dirty	
G20755	μόλυσμα	spot, taint	
G20756	μονήμερος	lasting one day	
G20757	μονικῶς	uniquely	
G20758	μονιμότης	constancy, steadfastness	
G20759	μονόζυξ	single, solitary	
G20760	μονοκένταυρος	man with ox's head	
G20761	μονορύχης	digging with one point	
G20762	μονοφαγία	eating alone	
G20763	μονοφάγος	eating alone	
G20764	μορφήεις	well-formed, shapely	
G20765	μόσχευμα	PLond.ined.	
G20766	μοχθίζω	to suffer	
G20767	μυελοποιός	strengthening	
G20768	μυθόλογος	prating	
G20769	μυκτηριάζω	to dry nose	
G20770	μυλήφατος	bruised in a mill	
G20771	μυλόομαι	be hardened, cicatrized	
G20772	μυρεψία	preparation of unguents	
G20773	μυρέψιον	prepared unguent	
G20774	μυρίνινος	of myrrh	
G20775	μυριοπάλαι	time out of mind	
G20776	μυριότης	myriad	
G20777	μυρισμός	an anointing	
G20778	μυρμηκίασις	irritation of the skin	
G20779	μυρμηκοειδής	like an ant	
G20780	μυροβραχής	wet with unguent	
G20781	μυσαρία	loathsomeness	
G20782	μυσάρχης	the originator of a foul deed	
G20783	μυσερός	defiled	
G20784	μυστάδης	teacher	
G20785	μυστηρικός	for mysteries	
G20786	μυστικός	scribere	
G20787	μύστις	initiator	
G20788	μώϊον	jar	
G20789	μώκημα	mockery	
G20790	μωκός	mocker	
G20791	μωλωπικός	suitable for weals	
G20792	μώμημα	blame	
G20793	μῶν	are you	
G20794	μωρεύω	be foolish	
G20795	μωροπόνηρος	stupidly wicked	
G20796	ναῦλος	rent	
G20797	νάφθα	naft	
G20798	νεικέω	to quarrell	
G20799	νεκριμαῖος	carcas	
G20800	νεόκτιστος	newly created	
G20801	νεοσσιά	beehive	
G20802	νεοσσοποιέω	to build a nest	
G20803	νηπιοκτόνος	slaying children	
G20804	νίζω	to wash hands	
G20805	νοερός	world	
G20806	νοθεύω	to consider spurious	
G20807	νόμαρχος	govenor	
G20808	νομιστέος	one must account, deem	
G20809	νομοφύλαξ	observer of the law	
G20810	νόος	point	
G20811	νοσφιδόν	by stealth	
G20812	νυμφικός	of the Nymphs	
G20813	νωθρότης	sluggishness	
G20814	Ξανδικός	Month Eandikos	
G20815	ξενιτεία	life of a mercenary in foreign service	
G20816	ξενολογέω	to enlist mercenaries	
G20817	ξενοτροφέω	to maintain mercenary troops	
G20818	ξεστός	smooth	
G20819	οἰκετικός	slaves	
G20820	οἰκίον	nest	
G20821	οἰνοδόχος	cupbearer	
G20822	οἰστρηλασία	mad passion	
G20823	Οἰτόσυρος	Oitosupos (Apollo)	
G20824	οἰωνόβρωτος	be eaten of birds	
G20825	ὄλβος	olg[uglide]ā	
G20826	ὀλεθρεία	fated	
G20827	ὀλεθροφόρος	destruction-bringing	
G20828	ὀλιγοποιέω	to diminish	
G20829	ὁλοκαρπόομαι	be offered as a whole burnt-offering	
G20830	ὄλονθος	sterile male inflorescence of the caprifig	
G20831	ὁλορριζί	utterly	
G20832	ὁλοσφύρατος	made of solid beaten metal	
G20834	ὀμναῖσαι	remembered	
G20835	ὁμοζηλία	common zeal	
G20836	ὁμόσπονδος	bound by treaty to	
G20837	ὁμόψυχος	endowed with the same soul	
G20838	ὀνοκάρδιον	chamelion	
G20839	ὀνοματογραφία	writing of names	
G20840	ὁπηνίκα	when once	
G20841	ὁπλοδοτέω	to arm	
G20842	ὁπλολογέω	be disarmed	
G20843	ὁπλοποιέω	to make weapons	
G20845	ὀργιάω	be fierce	
G20846	ὀρθρόω	dawn	
G20847	ὀρνιθοπώλης	dealer in birds	
G20848	ὀροφοιτάω	frequent mountains	
G20849	ὀροφόω	be roofed	
G20850	ὀστρακώδης	full of potsherds	
G20851	ὀσφράδιον	nosegay	
G20852	οὐ μή	surely not	
G20853	οὐθείς	none	
G20854	οὐραγέω	to lag behind	
G20855	ὀφιόδηκτος	bitten by a serpent	
G20856	ὄφλησις	penalty	
G20857	ὀχλαγωγέω	to attract a crowd	
G20858	ὀχυρωμάτιον	small fort	
G20859	ὀχύρωσις	fortification	
G20860	ὀψοποίημα	food	
G20861	ὄψος	fish	
G20862	παγγέωργος	master-gardener	
G20863	παγκρατής	victorious	
G20864	πάθνη	manger	
G20865	παθοκράτεια	government of the passions, self-restraint	
G20866	παιωνισμός	chanting of the paean	
G20867	παλαστή	*Geom.	
G20868	παμβασιλεύς	absolute monarch	
G20869	παμμελής	with all the limbs, entire	
G20870	παμμίαρος	all-abominable	
G20871	παμμιγής	mixed of all sorts, all-blended	
G20872	πανάγιος	all-holy	
G20873	πανεθνεί	with the whole nation	
G20874	πανεπόπτης	all-observing	
G20875	πανέχινος	shell/shield	
G20876	πανηγυρισμός	display, ostentation	
G20877	πανόδυρτος	most lamentable	
G20878	πανούργευμα	wonderful feats	
G20879	πανούργημα	sophistry	
G20880	παντεπίσκοπος	all-surveying	
G20881	παντευχία	in full armour	
G20882	παντοδύναμος	all-powerful	
G20883	παντοκρατέω	be almighty	
G20884	παντοτρόφος	all-nurturing	
G20885	παντοφαγία	indiscriminate eating	
